grantee,table_schema,table_name,privilege_type
anon,public,user_roles,DELETE
anon,public,user_roles,INSERT
anon,public,user_roles,REFERENCES
anon,public,user_roles,SELECT
anon,public,user_roles,TRIGGER
anon,public,user_roles,TRUNCATE
anon,public,user_roles,UPDATE
authenticated,public,user_roles,DELETE
authenticated,public,user_roles,INSERT
authenticated,public,user_roles,REFERENCES
authenticated,public,user_roles,SELECT
authenticated,public,user_roles,TRIGGER
authenticated,public,user_roles,TRUNCATE
authenticated,public,user_roles,UPDATE
postgres,public,user_roles,DELETE
postgres,public,user_roles,INSERT
postgres,public,user_roles,REFERENCES
postgres,public,user_roles,SELECT
postgres,public,user_roles,TRIGGER
postgres,public,user_roles,TRUNCATE
postgres,public,user_roles,UPDATE
service_role,public,user_roles,DELETE
service_role,public,user_roles,INSERT
service_role,public,user_roles,REFERENCES
service_role,public,user_roles,SELECT
service_role,public,user_roles,TRIGGER
service_role,public,user_roles,TRUNCATE
service_role,public,user_roles,UPDATE
